Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2020-02-27,8744.03,8904.11,8562.05,8566.48,8566.48,4536080000,15481.26,8498.02,8653.60,8321.16,8325.47
2020-02-28,8269.74,8591.82,8264.16,8567.37,8567.37,5301170000,15496.98,8028.92,8341.62,8023.50,8317.88
2020-03-02,8667.14,8952.81,8543.35,8952.17,8952.17,4232760000,15512.70,8406.22,8683.29,8286.16,8682.67
2020-03-03,8965.10,9070.32,8602.89,8684.09,8684.09,4336700000,15523.60,8689.11,8791.09,8338.05,8416.75
2020-03-04,8834.10,9019.96,8757.66,9018.09,9018.09,3602870000,15534.50,8556.13,8736.14,8482.10,8734.33
2020-03-05,8790.09,8921.08,8677.39,8738.59,8738.59,3748090000,15545.40,8507.54,8634.32,8398.46,8457.69
2020-03-06,8469.02,8612.36,8375.13,8575.62,8575.62,4279850000,15556.30,8191.04,8329.68,8100.24,8294.14
2020-03-09,7957.93,8243.31,7943.16,7950.68,7950.68,4530350000,15567.20,7691.34,7967.16,7677.06,7684.33
2020-03-10,8219.76,8347.40,7930.43,8344.25,8344.25,4431930000,15598.92,7928.24,8051.36,7649.18,8048.32
2020-03-11,8136.25,8181.36,7850.95,7952.05,7952.05,4273890000,15630.64,7831.77,7875.19,7557.15,7654.46
2020-03-12,7398.58,7712.33,7194.67,7201.80,7201.80,5066530000,15662.36,7107.28,7408.68,6911.40,6918.25
2020-03-13,7610.39,7875.93,7219.09,7874.88,7874.88,4685890000,15694.08,7295.98,7550.55,6920.84,7549.54
2020-03-16,7392.73,7422.20,6882.86,6904.59,6904.59,4594360000,15725.80,7073.01,7101.21,6585.19,6605.98
2020-03-17,7072.00,7406.23,6828.91,7334.78,7334.78,4900000000,15810.88,6729.74,7047.80,6498.42,6979.81
2020-03-18,6902.32,7182.83,6686.36,6989.84,6989.84,4890820000,15895.96,6533.12,6798.63,6328.71,6615.96
2020-03-19,6996.45,7341.38,6858.38,7150.58,7150.58,4762170000,15981.04,6586.96,6911.70,6456.97,6732.07
2020-03-20,7248.07,7354.44,6854.67,6879.52,6879.52,5239940000,16066.12,6787.72,6887.33,6419.30,6442.58
2020-03-23,6847.28,6984.94,6631.42,6860.67,6860.67,4330610000,16151.20,6378.60,6506.84,6177.52,6391.08
2020-03-24,7196.15,7418.37,7169.86,7417.86,7417.86,4417380000,16227.62,6672.03,6878.06,6647.65,6877.59
2020-03-25,7421.36,7671.21,7276.40,7384.30,7384.30,4666440000,16304.04,6848.58,7079.15,6714.81,6814.38
2020-03-26,7462.21,7809.83,7462.21,7797.54,7797.54,3999850000,16380.46,6854.15,7173.45,6854.15,7162.16
2020-03-27,7554.25,7716.24,7491.14,7502.38,7502.38,3977010000,16456.88,6906.47,7054.57,6848.77,6859.05
2020-03-30,7583.46,7784.35,7539.97,7774.15,7774.15,3846900000,16533.30,6901.13,7083.95,6861.55,7074.66
2020-03-31,7740.06,7880.31,7642.86,7700.10,7700.10,4059700000,16545.86,7038.29,7165.83,6949.91,7001.96
2020-04-01,7459.50,7566.37,7301.98,7360.58,7360.58,3685510000,16558.42,6778.03,6875.13,6634.90,6688.14
2020-04-02,7317.45,7501.70,7307.95,7487.31,7487.31,3608190000,16570.98,6643.91,6811.20,6635.29,6798.14
2020-04-03,7477.27,7518.72,7288.11,7373.08,7373.08,3279100000,16583.54,6783.88,6821.49,6612.26,6689.35
2020-04-06,7660.17,7938.33,7617.79,7913.24,7913.24,3849100000,16596.10,6944.56,7196.73,6906.14,7173.99
2020-04-07,8129.99,8146.43,7881.22,7887.26,7887.26,4069410000,16626.12,7357.18,7372.06,7132.06,7137.52
2020-04-08,7975.72,8114.43,7901.94,8090.90,8090.90,3470730000,16656.15,7204.56,7329.86,7137.92,7308.61
2020-04-09,8169.01,8227.91,8072.32,8153.58,8153.58,4123670000,16686.17,7365.89,7419.00,7278.70,7351.97
2020-04-13,8127.69,8200.44,8035.95,8192.42,8192.42,3146860000,16716.20,7315.47,7380.95,7232.89,7373.73
2020-04-14,8353.21,8531.11,8338.08,8515.74,8515.74,3732820000,16788.24,7486.19,7645.62,7472.63,7631.85
2020-04-15,8355.96,8464.66,8308.79,8393.18,8393.18,3333750000,16860.28,7456.65,7553.65,7414.56,7489.87
2020-04-16,8479.11,8560.16,8393.27,8532.36,8532.36,3995870000,16932.32,7534.36,7606.38,7458.08,7581.67
